Bureau,Geo,Nom,Inscrits,Votants,Nuls,Blancs,Exprimé,ROSE,CORADEL,FRIGOUT,QUENARD,ROBINET,MURA,LANG
611,"[49.26531319999999, 4.0214371]",Bureau 611 - Salle Municipale Saint-Thierry,1364,629,4,5,620,13,54,112,118,282,5,36
612,"[49.2594942, 4.0149514]",Bureau 612 - Ecole Maternelle Clairmarais,1015,484,4,9,471,3,25,105,106,208,5,19
613,"[49.2602193, 4.0158939]",Bureau 613 - Ecole Maternelle Clairmarais,1471,687,0,4,683,11,72,151,126,297,7,19
614,"[49.2602193, 4.0158939]",Bureau 614 - Ecole Maternelle Clairmarais,1037,491,5,7,479,6,29,76,99,249,1,19
701,"[49.26889509999999, 4.0259254]",Bureau 701 - Salle de Sport,942,474,2,2,470,6,42,54,113,223,4,28
702,"[49.26889509999999, 4.0259254]",Bureau 702 - Salle de Sport,1032,497,3,6,488,7,45,81,95,238,0,22
703,"[49.2643279, 4.044527299999999]",Bureau 703 - Amicale Jamin,1236,529,2,5,522,9,27,110,95,235,1,45
704,"[49.2643279, 4.044527299999999]",Bureau 704 - Amicale Jamin,943,389,3,5,381,3,22,69,92,175,1,19
705,"[49.2643279, 4.044527299999999]",Bureau 705 - Amicale Jamin,1036,578,3,3,572,15,27,105,101,276,5,43
706,"[49.2639408, 4.0485956]",Bureau 706 - Ecole Maternelle Prieur de la Marne,961,395,2,1,392,6,28,66,95,165,0,32
707,"[49.2639408, 4.0485956]",Bureau 707 - Ecole Maternelle Prieur de la Marne,1184,548,0,1,547,9,34,185,77,203,0,39
708,"[49.267666, 4.069099599999999]",Bureau 708 - Ecole Maternelle Paul Bert,635,186,1,4,181,5,20,39,17,91,3,6
709,"[49.267371, 4.069382]",Bureau 709 - Ecole Elémentaire Paul Bert,711,313,2,2,309,4,32,84,43,118,4,24
710,"[49.2612551, 4.057214399999999]",Bureau 710 - Ecole Elémentaire Dauphinot,978,510,3,8,499,15,30,81,107,221,2,43
711,"[49.2612551, 4.057214399999999]",Bureau 711 - Ecole Elémentaire Dauphinot,924,437,1,1,435,14,29,114,72,174,2,30
712,"[49.2616244, 4.0576912]",Bureau 712 - Ecole Elémentaire Dauphinot,1007,406,1,4,401,7,32,115,72,143,1,31
713,"[49.2616244, 4.0576912]",Bureau 713 - Ecole Elémentaire Dauphinot,1176,479,0,4,475,8,42,156,57,163,2,47
714,"[49.2588043, 4.0482059]",Bureau 714 - Ecole Elémentaire Carteret,1071,565,6,6,553,12,24,126,122,221,1,47
715,"[49.2588043, 4.0482059]",Bureau 715 - Ecole Elémentaire Carteret,975,451,1,3,447,8,44,80,87,187,2,39
716,"[49.2558549, 4.057081999999999]",Bureau 716 - Ecole Maternelle Général Carré,994,442,5,2,435,6,38,136,56,157,4,38
717,"[49.2558549, 4.057081999999999]",Bureau 717 - Ecole Maternelle Général Carré,1254,381,0,7,374,10,21,150,39,137,3,14
801,"[49.23544649999999, 4.047439]",Bureau 801 - Ecole Elémentaire Jules Ferry,1002,425,6,1,418,10,25,131,69,139,3,41
802,"[49.22489849999999, 4.0401455]",Bureau 802 - Ecole Elémentaire Tixier-Mougne,758,202,0,5,197,3,13,60,27,78,7,9
803,"[49.22489849999999, 4.0401455]",Bureau 803 - Ecole Elémentaire Tixier-Mougne,857,236,5,1,230,4,22,74,26,75,10,19
